1,-0.159178,-0.143207,1.20015,-1828.56,4898.73,1552.66,0.0107967,-0.00786299,1.64032,24.9412,3918.34,-9.19072
2,-0.122051,-0.15208,1.19465,-1829.22,4899.37,1553.37,0.0108324,-0.0127683,1.63997,24.8812,3918,-9.28396
3,-0.118748,-0.161824,1.19481,-1829.36,4899.71,1553.04,0.00999845,-0.00791724,1.63999,24.9655,3918.15,-9.11548
4,2.87483,1.15954,0.454077,-1832.2,4902.7,1543.89,0.0114525,-0.0137302,1.63993,24.8421,3918.26,-9.41109
5,2.87593,1.16114,0.455817,-1832.25,4902.79,1543.77,0.00996675,-0.0134984,1.63667,24.72,3918.1,-9.58527
6,2.87427,1.16166,0.456589,-1832.45,4903.05,1543.82,0.0104741,-0.013641,1.63658,24.6528,3918.19,-9.54249
7,0.11298,0.0782074,-0.970289,-1833.91,4902.92,1554.13,0.0096665,-0.00686047,1.63686,24.7472,3918.17,-9.20455
8,0.115717,0.0770789,-0.969447,-1834.36,4902.97,1554.36,0.0103371,-0.0123782,1.63677,24.6884,3917.98,-9.27504
9,0.115869,0.0764001,-0.968547,-1834.52,4903.09,1554.36,0.00980076,-0.00686916,1.63676,24.7403,3918.03,-9.05091
10,0.136129,0.0742362,-0.958512,-1833.65,4903.41,1553.65,0.0173747,-0.0135259,1.63096,24.3343,3917.8,-9.7043
11,0.115441,0.0757699,-0.967465,-1834.74,4903.52,1554.4,0.0170433,-0.0137979,1.63073,24.3168,3917.98,-9.76991
12,0.115333,0.077735,-0.9666,-1834.51,4903.85,1554.04,0.0154414,-0.0166896,1.62898,24.21,3917.62,-9.82367
13,0.112966,0.0759713,-0.966325,-1834.69,4904.18,1554.25,0.0173138,-0.0137296,1.63081,24.3171,3917.99,-9.74001
14,0.117028,0.0752675,-0.96534,-1835.07,4904.04,1554.39,0.0171606,-0.0131175,1.63128,24.4026,3917.8,-9.59333
15,0.117058,0.0745879,-0.964938,-1835.23,4904.25,1554.4,0.0175062,-0.014034,1.63421,24.5396,3917.84,-9.61781
16,0.120167,0.06376,-0.975515,-1835.07,4903.71,1554.68,0.017086,-0.0127184,1.63115,24.301,3917.81,-9.56895
17,0.124743,0.0651914,-0.974484,-1835.16,4903.96,1554.58,0.0170916,-0.0135072,1.63096,24.3453,3917.72,-9.81795
18,0.123128,0.063727,-0.974527,-1835.25,4904.24,1554.69,0.0172874,-0.0136323,1.63087,24.3129,3918.02,-9.82061
19,0.124899,0.0640038,-0.97375,-1835.34,4904.26,1554.65,0.01519,-0.00513068,1.62744,23.9441,3917.53,-9.46655
